Author,Abstract,n_articles
Claudio Stacchi,S abstractobjectivesthe purpose of this review was to evaluate whether history of periodontitis and smoking habits could represent a risk factor for peri  implantitis and implant lossmaterial and methodsthis systematic review followed prisma guidelines and was registered at the prospero database  registration numbers crd42016034160  effect of history of periodontitis  and crd42016033676  effect of smoking    S S broad electronic  medline  and manual searches were conducted among articles published from january 1st 1990 up to december 31st 2015  resulting in 49332 records for history of periodontitis and 3199 for smoking habits  S S selection criteria included prospective studies comparing two cohorts of patients  with and without the investigated risk factor  with a minimum follow  up period of three years  and reporting data on peri  implantitis and implant loss occurrence  S S considering that only prospective studies were included  dichotomous data were expressed as risk ratios and 95 confidence intervalsresultsthree studies evaluating history of periodontitis  on which quantitative analysis was performed  and one study on smoking effect were included  S S both implant and patient  based meta  analyses revealed a significantly higher risk of developing peri  implantitis in patients with a history of periodontitis compared with periodontally healthy subjects  but not a statistically significant increased risk for implant lossconclusionsthe outcomes of this systematic review indicate history of periodontitis as a possible risk factor for peri  implantitis  while insufficient data are present in literature to evaluate the role of smoking  S S however  available evidence is still weak and immature  and sound epidemiological studies are needed to analyse the specific contribution of these potential risk factors  S,1
Danica Galonić Fujimori,S cytc3  a member of the recently discovered class of nonheme feii  and ketoglutarate  kgdependent halogenases  catalyzes the double chlorination of l2aminobutyric acid  aba  to produce a known streptomyces antibiotic  dichloroaminobutyrate  unlike the majority of the feiikg  dependent enzymes that catalyze hydroxylation reactions  halogenases catalyze a transfer of halides  to examine the important enzymatic features that discriminate between chlorination and hydroxylation  the crystal structures of cytc3 both with and without kg  feii  have been solved to 22  resolution  S S these structures capture cytc3 in an open active site conformation  in which no chloride is bound to iron  S S comparison of the open conformation of cytc3 with the closed conformation of another nonheme iron halogenase  syrb2  suggests two important criteria for creating an enzyme  bound fe  S S cl catalyst   1  the presence of a hydrogen  bonding network between the chloride and surrounding residues  and  2  the presence of a hydrophobic pocket in which the chloride resides  S,1
Daniel Estrada,S   background  fetal and neonatal morbidity and mortality are significant problems   in developing countries  remote maternal  fetal monitoring offers promise in addressing this challenge    S S the gary and mary west health institute and the   instituto carlos slim de la salud conducted a demonstration project of wirelessly   enabled antepartum maternal  fetal monitoring in the state of yucatn  mexico    to assess whether there were any fundamental barriers preventing deployment and use    S S methods  following informed consent  high  risk pregnant women at 2729   weeks of gestation at the chemax primary clinic participated in remote maternal  fetal monitoring    S S study participants were randomized to receive either prototype wireless monitoring or standard  of  care    S S feasibility was evaluated by assessing technical aspects of performance  adherence to monitoring   appointments  and response to recommendations  S S results  S S data were collected from   153 high  risk pregnant indigenous mayan women receiving either remote monitoring  n  74  or usual standard  of  care  n  79   S S remote monitoring resulted in markedly increased adherence  943 versus 451     S S health outcomes were not statistically different in the two groups    conclusions  S S remote maternal  fetal monitoring is   feasible in resource  constrained environments and can improve   maternal compliance for monitoring sessions  S S improvement in maternal  fetal health outcomes   requires integration of such technology into sociocultural context and addressing   logistical challenges of access to appropriate emergency services  S,1
David Haines,S backgroundover a 12month period  adolescent heart  screening programs were performed for identifying at  risk adolescents for sudden cardiac death  scd  in our community  S S novel to our study  all adolescents received an abbreviated  ultraportable echocardiography  upe   in this report S S  we describe the use of upe in this screening programmethods and resultsfour hundred thirty  two adolescents underwent cardiac screening with medical history questionnaire  physical examination  12lead electrocardiogram  ecg   and an abbreviated transthoracic echocardiographic examination  S S there were 11 abnormalities identified with uncertain  varying clinical risk significance  in this population  75 adolescents had a murmur or high ecg voltage  of which only three had subsequent structural abnormalities on echocardiography that may pose risk  S S conversely  upe discovered four adolescents who had a cardiovascular structural abnormality that was not signaled by the 12lead ecg  medical history questionnaire  andor physical examinationconclusionsthe utilization of ultraportable  handheld echocardiography is feasible in large  scale adolescent cardiovascular screening programs  S S upe appears to be useful for finding additional structural abnormalities and for risk  stratifying abnormalities of uncertain potential of adolescents sudden death  S,1
David M Smith,S nanometer  sized polyhedral wire  frame objects hold a wide range of potential applications both as structural scaffolds as well as a basis for synthetic nanocontainers  S S the utilization of dna as basic building blocks for such structures allows the exploitation of bottom  up self  assembly in order to achieve molecular programmability through the pairing of complementary bases  in this work S S  we report on a hollow but rigid tetrahedron framework of 75  nm strut length constructed with the dna origami method    S S flexible hinges at each of their four joints provide a means for structural variability of the object  through the opening of gaps along the struts  four variants can be created as confirmed by both gel electrophoresis and direct imaging techniques  S S the intrinsic site addressability provided by this technique allows the unique targeted attachment of dye andor linker molecules at any point on the structure s surface  which we prove through the superresolution fluorescence microscopy technique dna paint  S,1
Debashis Mukhopadhyay,S amyloid precursor protein  app   implicated in alzheimer s disease  is a transmembrane protein of undetermined function  S S app is cleaved by gamma  secretase that releases the app intracellular domain  aicd  in the cytoplasm  in vitro and in vivo studies S S have implicated the role of aicd in cell signaling and transcriptional regulation of gsk3  kai1  bace1  egfr  and other proteins  in this study  by overexpressing aicd in mouse neuroblastoma cell lines  we have demonstrated the alteration in the expressions of two proteins  patched homolog 1  ptch1   a receptor for sonic hedgehog signaling  and transient receptor potential cation channel subfamily c member 5  trpc5   a component of receptor  activated nonselective calcium permeant cation channel  S S our results indicate the possibility of regulation by aicd in developmental processes as well as in the maintenance of calcium homeostasis at the transcription level  S,1
Fatemeh Velayati Moghadam,S aim  the purpose of the present randomized clinical trial was to evaluate the color change  rebound effect and sensitivity of at  home bleaching with 15 carbamide peroxide and power bleaching using 38 hydrogen peroxidematerials and methods  for bleaching techniques  20 subjects were randomized in a split mouth design  at  home and power bleaching   in maxillary and mandibular anterior teeth  n  20   S S color was recorded before bleaching  immediately after bleaching  at 2 weeks  1  3 and 6 month intervals  S S tooth sensitivity was recorded using the visual analog scale  S S the mann  whitney test was used to compare both groups regarding bleaching effectiveness  e1   rebound effect  e2  and color difference between the rebounded tooth color and unbleached teeth  e3  while the wilcoxon compared e within each group  S S distribution of sensitivity was evaluated using the chi  square test    005results  there was no significant difference between groups regarding e1 and e3  p  005   S S even though  e2 showed no significant difference between groups after bleaching as well as at 2 week  1 month and 3 month follow  up periods  p  005   S S although  significant difference was found in e2  p  005 mann  whitney  between two methods after 6 months and a high degree of rebound effect was obtained with power bleaching  within each group  there was no significant difference between e1 and e3  p  005 wilcoxon   S S the distribution of sensitivity was identical with both techniques  p  005conclusion  bleaching techniques resulted in identical tooth whitening and post  operative sensitivity using both techniques  but faster color regression was found with power bleaching even though color regression to the baseline of the teeth in both groups was the same after 6 months  S,1
Federico Berton,S abstractobjectivesthe purpose of this review was to evaluate whether history of periodontitis and smoking habits could represent a risk factor for peri  implantitis and implant lossmaterial and methodsthis systematic review followed prisma guidelines and was registered at the prospero database  registration numbers crd42016034160  effect of history of periodontitis  and crd42016033676  effect of smoking    S S broad electronic  medline  and manual searches were conducted among articles published from january 1st 1990 up to december 31st 2015  resulting in 49332 records for history of periodontitis and 3199 for smoking habits  S S selection criteria included prospective studies comparing two cohorts of patients  with and without the investigated risk factor  with a minimum follow  up period of three years  and reporting data on peri  implantitis and implant loss occurrence  S S considering that only prospective studies were included  dichotomous data were expressed as risk ratios and 95 confidence intervalsresultsthree studies evaluating history of periodontitis  on which quantitative analysis was performed  and one study on smoking effect were included  S S both implant and patient  based meta  analyses revealed a significantly higher risk of developing peri  implantitis in patients with a history of periodontitis compared with periodontally healthy subjects  but not a statistically significant increased risk for implant lossconclusionsthe outcomes of this systematic review indicate history of periodontitis as a possible risk factor for peri  implantitis  while insufficient data are present in literature to evaluate the role of smoking  S S however  available evidence is still weak and immature  and sound epidemiological studies are needed to analyse the specific contribution of these potential risk factors  S,1
Feng Zhou,S objective  ovarian fibrosis is characterized by excessive proliferation of ovarian fibroblasts and deposition of extracellular matrix  ecm  and it is one of the principal reasons for ovarian dysfunction  this review aimed to investigate the pathogenetic mechanism of ovarian fibrosis and to clarify the relationship between ovarian diseases and fibrosisdata sources  we searched pubmed for english language articles published up to november 2016  S S the search terms included ovarian fibrosis or fibrosis  ovarian chocolate cyst or ovarian endometrioma  polycystic ovarian syndrome  pcos   premature ovarian failure  ecm  matrix metalloproteinases  mmps   tissue inhibitors of matrix metalloproteinases  timps   transforming growth factor  beta 1  tgf1   connective tissue growth factor  ctgf   peroxisome proliferator  activated receptor gamma  ppar   vascular endothelial growth factor  vegf   endothelin1  et1   and combinations of these termsstudy selection  articles were obtained and reviewed to analyze the pathogenic mechanism of ovarian fibrosis and related ovarian diseasesresultsmany cytokines  such as mmps  timps  tgf1  ctgf  ppar  vegf  and et1  are involved in ovarian fibrogenesis  S S ovarian fibrogenesis is associated with various ovarian diseases  including ovarian chocolate cyst  pcos  and premature ovarian failure  S S one finding of particular interest is that fibrogenesis in peripheral tissues around an ovarian chocolate cyst commonly causes ovarian function diminution  and therefore  this medical problem should arouse widespread concern in clinicians worldwideconclusionspatients with ovarian fibrosis are susceptible to infertility and tend to have decreased responses to assisted fertility treatment  S S thus  protection of ovarian function should be a priority for women who wish to reproduce when making therapeutic decisions about ovarian fibrosis  related diseases  S S objective  ovarian fibrosis is characterized by excessive proliferation of ovarian fibroblasts and deposition of extracellular matrix  ecm  and it is one of the principal reasons for ovarian dysfunction  this review aimed to investigate the pathogenetic mechanism of ovarian fibrosis and to clarify the relationship between ovarian diseases and fibrosisdata sources  we searched pubmed for english language articles published up to november 2016  S S the search terms included ovarian fibrosis or fibrosis  ovarian chocolate cyst or ovarian endometrioma  polycystic ovarian syndrome  pcos   premature ovarian failure  ecm  matrix metalloproteinases  mmps   tissue inhibitors of matrix metalloproteinases  timps   transforming growth factor  beta 1  tgf1   connective tissue growth factor  ctgf   peroxisome proliferator  activated receptor gamma  ppar   vascular endothelial growth factor  vegf   endothelin1  et1   and combinations of these termsstudy selection  articles were obtained and reviewed to analyze the pathogenic mechanism of ovarian fibrosis and related ovarian diseasesresultsmany cytokines  such as mmps  timps  tgf1  ctgf  ppar  vegf  and et1  are involved in ovarian fibrogenesis  S S ovarian fibrogenesis is associated with various ovarian diseases  including ovarian chocolate cyst  pcos  and premature ovarian failure  S S one finding of particular interest is that fibrogenesis in peripheral tissues around an ovarian chocolate cyst commonly causes ovarian function diminution  and therefore  this medical problem should arouse widespread concern in clinicians worldwideconclusionspatients with ovarian fibrosis are susceptible to infertility and tend to have decreased responses to assisted fertility treatment  S S thus  protection of ovarian function should be a priority for women who wish to reproduce when making therapeutic decisions about ovarian fibrosis  related diseases  S,2
Francesca Andolsek,S abstractobjectivesthe purpose of this review was to evaluate whether history of periodontitis and smoking habits could represent a risk factor for peri  implantitis and implant lossmaterial and methodsthis systematic review followed prisma guidelines and was registered at the prospero database  registration numbers crd42016034160  effect of history of periodontitis  and crd42016033676  effect of smoking    S S broad electronic  medline  and manual searches were conducted among articles published from january 1st 1990 up to december 31st 2015  resulting in 49332 records for history of periodontitis and 3199 for smoking habits  S S selection criteria included prospective studies comparing two cohorts of patients  with and without the investigated risk factor  with a minimum follow  up period of three years  and reporting data on peri  implantitis and implant loss occurrence  S S considering that only prospective studies were included  dichotomous data were expressed as risk ratios and 95 confidence intervalsresultsthree studies evaluating history of periodontitis  on which quantitative analysis was performed  and one study on smoking effect were included  S S both implant and patient  based meta  analyses revealed a significantly higher risk of developing peri  implantitis in patients with a history of periodontitis compared with periodontally healthy subjects  but not a statistically significant increased risk for implant lossconclusionsthe outcomes of this systematic review indicate history of periodontitis as a possible risk factor for peri  implantitis  while insufficient data are present in literature to evaluate the role of smoking  S S however  available evidence is still weak and immature  and sound epidemiological studies are needed to analyse the specific contribution of these potential risk factors  S,1
Frank Tilli,S backgroundover a 12month period  adolescent heart  screening programs were performed for identifying at  risk adolescents for sudden cardiac death  scd  in our community  S S novel to our study  all adolescents received an abbreviated  ultraportable echocardiography  upe   in this report S S  we describe the use of upe in this screening programmethods and resultsfour hundred thirty  two adolescents underwent cardiac screening with medical history questionnaire  physical examination  12lead electrocardiogram  ecg   and an abbreviated transthoracic echocardiographic examination  S S there were 11 abnormalities identified with uncertain  varying clinical risk significance  in this population  75 adolescents had a murmur or high ecg voltage  of which only three had subsequent structural abnormalities on echocardiography that may pose risk  S S conversely  upe discovered four adolescents who had a cardiovascular structural abnormality that was not signaled by the 12lead ecg  medical history questionnaire  andor physical examinationconclusionsthe utilization of ultraportable  handheld echocardiography is feasible in large  scale adolescent cardiovascular screening programs  S S upe appears to be useful for finding additional structural abnormalities and for risk  stratifying abnormalities of uncertain potential of adolescents sudden death  S,1
Giuseppe Perinetti,S abstractobjectivesthe purpose of this review was to evaluate whether history of periodontitis and smoking habits could represent a risk factor for peri  implantitis and implant lossmaterial and methodsthis systematic review followed prisma guidelines and was registered at the prospero database  registration numbers crd42016034160  effect of history of periodontitis  and crd42016033676  effect of smoking    S S broad electronic  medline  and manual searches were conducted among articles published from january 1st 1990 up to december 31st 2015  resulting in 49332 records for history of periodontitis and 3199 for smoking habits  S S selection criteria included prospective studies comparing two cohorts of patients  with and without the investigated risk factor  with a minimum follow  up period of three years  and reporting data on peri  implantitis and implant loss occurrence  S S considering that only prospective studies were included  dichotomous data were expressed as risk ratios and 95 confidence intervalsresultsthree studies evaluating history of periodontitis  on which quantitative analysis was performed  and one study on smoking effect were included  S S both implant and patient  based meta  analyses revealed a significantly higher risk of developing peri  implantitis in patients with a history of periodontitis compared with periodontally healthy subjects  but not a statistically significant increased risk for implant lossconclusionsthe outcomes of this systematic review indicate history of periodontitis as a possible risk factor for peri  implantitis  while insufficient data are present in literature to evaluate the role of smoking  S S however  available evidence is still weak and immature  and sound epidemiological studies are needed to analyse the specific contribution of these potential risk factors  S,1
Hector Gallardo,S   background  fetal and neonatal morbidity and mortality are significant problems   in developing countries  remote maternal  fetal monitoring offers promise in addressing this challenge    S S the gary and mary west health institute and the   instituto carlos slim de la salud conducted a demonstration project of wirelessly   enabled antepartum maternal  fetal monitoring in the state of yucatn  mexico    to assess whether there were any fundamental barriers preventing deployment and use    S S methods  following informed consent  high  risk pregnant women at 2729   weeks of gestation at the chemax primary clinic participated in remote maternal  fetal monitoring    S S study participants were randomized to receive either prototype wireless monitoring or standard  of  care    S S feasibility was evaluated by assessing technical aspects of performance  adherence to monitoring   appointments  and response to recommendations  S S results  S S data were collected from   153 high  risk pregnant indigenous mayan women receiving either remote monitoring  n  74  or usual standard  of  care  n  79   S S remote monitoring resulted in markedly increased adherence  943 versus 451     S S health outcomes were not statistically different in the two groups    conclusions  S S remote maternal  fetal monitoring is   feasible in resource  constrained environments and can improve   maternal compliance for monitoring sessions  S S improvement in maternal  fetal health outcomes   requires integration of such technology into sociocultural context and addressing   logistical challenges of access to appropriate emergency services  S,1
James E Weber,S backgroundover a 12month period  adolescent heart  screening programs were performed for identifying at  risk adolescents for sudden cardiac death  scd  in our community  S S novel to our study  all adolescents received an abbreviated  ultraportable echocardiography  upe   in this report S S  we describe the use of upe in this screening programmethods and resultsfour hundred thirty  two adolescents underwent cardiac screening with medical history questionnaire  physical examination  12lead electrocardiogram  ecg   and an abbreviated transthoracic echocardiographic examination  S S there were 11 abnormalities identified with uncertain  varying clinical risk significance  in this population  75 adolescents had a murmur or high ecg voltage  of which only three had subsequent structural abnormalities on echocardiography that may pose risk  S S conversely  upe discovered four adolescents who had a cardiovascular structural abnormality that was not signaled by the 12lead ecg  medical history questionnaire  andor physical examinationconclusionsthe utilization of ultraportable  handheld echocardiography is feasible in large  scale adolescent cardiovascular screening programs  S S upe appears to be useful for finding additional structural abnormalities and for risk  stratifying abnormalities of uncertain potential of adolescents sudden death  S,1
Ji-Zong Zhao,S background  although pedicle screw placement  psp  is a well  established technique for spine surgery  the treatment of patients with primary invasive spinal tumor  pist  has high surgical risks secondary to destroyed pedicles  S S intraoperative three  dimensional fluoroscopy  based navigation  itfn  system permits safe and accurate instrumentation of the spine with the advantage of obtaining intraoperative real  time three  dimensional images and automatic registration  S S the aim of this study is to evaluate the feasibility and accuracy of psp using itfn system for patients afflicted with pist in the thoracic spinemethodsfiftyone patients diagnosed with pists were retrospectively analyzed  and 157 pedicles screws were implanted in 23 patients using the free  hand technique  free  hand group  and 197 pedicle screws were implanted in 28 patients using the itfn system  itfn group   S S modified classification of gertzbein and robbins was used to evaluate the accuracy of psp  and mccormick classification was applied for assessment of neurological function  S S demographic data and factors affecting accuracy of screw insertion were compared using independent t  test while comparison of accuracy of screw insertion between the two groups was analyzed with chi  square testresultsof 51 patients  39 demonstrated improved neurological status and the other 12 patients reported that symptoms remained the same  in the free  hand group  145 screws  924  were grade i  9 screws  57  were grade ii  and 3 screws  19  were grade iii  in the itfn group  192 screws  974  were grade i  5 screws  26  were grade ii  and no grade iii screw was detected  S S statistical analysis showed that the accuracies of pedicle screws in the two groups are significantly different  2  4981  p  0026conclusions  the treatments of pists include total tumor resection and reconstruction of spine stability  S S the itfn system provides a high accuracy of pedicle screw placement  S,1
Jonathan Mack,S   background  fetal and neonatal morbidity and mortality are significant problems   in developing countries  remote maternal  fetal monitoring offers promise in addressing this challenge    S S the gary and mary west health institute and the   instituto carlos slim de la salud conducted a demonstration project of wirelessly   enabled antepartum maternal  fetal monitoring in the state of yucatn  mexico    to assess whether there were any fundamental barriers preventing deployment and use    S S methods  following informed consent  high  risk pregnant women at 2729   weeks of gestation at the chemax primary clinic participated in remote maternal  fetal monitoring    S S study participants were randomized to receive either prototype wireless monitoring or standard  of  care    S S feasibility was evaluated by assessing technical aspects of performance  adherence to monitoring   appointments  and response to recommendations  S S results  S S data were collected from   153 high  risk pregnant indigenous mayan women receiving either remote monitoring  n  74  or usual standard  of  care  n  79   S S remote monitoring resulted in markedly increased adherence  943 versus 451     S S health outcomes were not statistically different in the two groups    conclusions  S S remote maternal  fetal monitoring is   feasible in resource  constrained environments and can improve   maternal compliance for monitoring sessions  S S improvement in maternal  fetal health outcomes   requires integration of such technology into sociocultural context and addressing   logistical challenges of access to appropriate emergency services  S,1
